"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LTRUJN-Z4NQJ-UHEWOK","QCCUKW4-54GUA3-EJK7KE","2020-04-14 09:23:35","deposit","currency","ZEUR",100.0000,0.0000,100.1702
"LVPNFA-4AADL-SIAIUF","TN3AK7-33QH4-KV5G22","2020-04-14 19:48:03","trade","currency","ZEUR",-20.0000,0.0320,80.1382
"LK6P3H-BFUF4-22U5T3","TN3AK7-33QH4-KV5G22","2020-04-14 19:48:03","trade","currency","XXBT",0.0031630500,0.0000000000,0.0260930220
"LBBWNW-NXKJT-7YRYDE","T7ZB3E-U5SXW-SMBDNH","2020-04-14 20:06:02","trade","currency","ZEUR",-0.3674,0.0006,79.7702
"LUZ4U7-264QE-LBR64A","T7ZB3E-U5SXW-SMBDNH","2020-04-14 20:06:02","trade","currency","XETH",0.0025160900,0.0000000000,0.3314634500
"LNOFFD-7KSRR-YEIDVL","TSWTZ3-HLDBS-XH3Z7V","2020-04-14 20:06:02","trade","currency","ZEUR",-1.0206,0.0016,78.7480
"LKSLYG-CCT2I-WVS4TB","TSWTZ3-HLDBS-XH3Z7V","2020-04-14 20:06:02","trade","currency","XETH",0.0069902900,0.0000000000,0.3384537400
"LO76K6-RLMAR-3P6QHR","T4JJDH-RPG5Z-LAAFF3","2020-04-14 20:06:02","trade","currency","ZEUR",-9.7104,0.0155,69.0221
"LU7KG3-GST6G-EM4PR4","T4JJDH-RPG5Z-LAAFF3","2020-04-14 20:06:02","trade","currency","XETH",0.0665097200,0.0000000000,0.4049634600
"L2IUHK-FPUW7-XQRSHR","TQF7MF-5N2MZ-G2IONA","2020-04-14 20:07:37","trade","currency","ZEUR",-8.8914,0.0142,60.1165
"LCA5PD-6WVKS-WJFSFM","TQF7MF-5N2MZ-G2IONA","2020-04-14 20:07:37","trade","currency","XETH",0.0609000000,0.0000000000,0.4658634600
"LQK3DI-NPWEF-FGNMFW","TWKWRO-XHDHC-PWJN7D","2020-04-14 20:07:38","trade","currency","ZEUR",-0.0103,0.0000,60.1062
"LWG4X6-TSIPJ-RHW4QO","TWKWRO-XHDHC-PWJN7D","2020-04-14 20:07:38","trade","currency","XETH",0.0000702000,0.0000000000,0.4659336600
"L4EDIB-AWW2X-R3O7XD","TCECKE-NFEHC-H75MSB","2020-04-14 20:38:13","trade","currency","ZEUR",-26.8365,0.0429,33.2268
"LZIFA5-2GNXQ-7SKHUJ","TCECKE-NFEHC-H75MSB","2020-04-14 20:38:13","trade","currency","XTZ",15.00000000,0.00000000,15.00000000
"LVCK3Y-HSO4H-PRJUUY","TJLSHW-XG3TW-K3JIZI","2020-04-14 20:38:13","trade","currency","ZEUR",-3.1635,0.0051,30.0582
"LYCCVN-MBDL6-OZZMPJ","TJLSHW-XG3TW-K3JIZI","2020-04-14 20:38:13","trade","currency","XTZ",1.76820747,0.00000000,16.76820747
"LX5FAS-YPT6O-NWPSRK","TKTZHN-FUN4C-PCISW4","2020-04-14 20:39:39","trade","currency","ZEUR",-30.0000,0.0480,0.0102
"LPQJVI-DUC7Z-USNY3U","TKTZHN-FUN4C-PCISW4","2020-04-14 20:39:39","trade","currency","LINK",10.0000000000,0.0000000000,10.0000000000
"","AGBK7XY-MSCCZO-Z37QMW","2020-04-15 11:19:35","withdrawal","currency","XXBT",-0.0045000000,0.0005000000,""
"","AGBCQBB-EPKNWD-VWNLA3","2020-04-15 11:22:51","withdrawal","currency","XXBT",-0.0205900000,0.0005000000,""
"","A4JYYTG-2N3FPB-43EOE6","2020-04-15 11:29:18","withdrawal","currency","LINK",-9.4000000000,0.6000000000,""
"LRH5QI-ICOB5-SBURTJ","A4JYYTG-2N3FPB-43EOE6","2020-04-15 11:32:05","withdrawal","currency","LINK",-9.4000000000,0.6000000000,0.0000000000
"","BMB4OIE-NTBEAD-IWPBRF","2020-04-15 11:32:08","withdrawal","currency","XTZ",-16.56820700,0.20000000,""
"LAAFRD-P6VK4-F52WZE","AGBK7XY-MSCCZO-Z37QMW","2020-04-15 11:32:36","withdrawal","currency","XXBT",-0.0045000000,0.0005000000,0.0210930220
